,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Location,FAA,IATA,ICAO,Name,Designation,Enplanements,URL,checked
0,0,0,0,Atlanta,ATL,ATL,KATL,Hartsfield–Jackson Atlanta International Airport,P-L,"51,865,797","https://www.google.com/maps/place/Hartsfield-Jackson+Atlanta+International+Airport/@33.6407282,-84.4298888,17z/data=!3m1!4b1!4m5!3m4!1s0x88f4fd2fe1035901:0x4117a3ef1892b048!8m2!3d33.6407282!4d-84.4277001",1
1,1,1,1,Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport,P-L,"42,624,050","https://www.google.com/maps/place/Los+Angeles+International+Airport/@33.9415888,-118.4127572,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2b0d213b24fb5:0x77a87b57698badf1!8m2!3d33.9415889!4d-118.40853",1
2,2,2,2,Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport,P-L,"39,873,927","https://www.google.com/maps/place/O'Hare+International+Airport/@41.9802799,-87.9132251,17z/data=!3m1!4b1!4m5!3m4!1s0x880fb4276a7762f3:0x511747070259ad4b!8m2!3d41.98028!4d-87.9089979",1
3,3,3,3,Dallas,DFW,DFW,KDFW,Dallas Fort Worth International Airport,P-L,"32,821,799","https://www.google.com/maps/place/Dallas%2FFort+Worth+International+Airport/@32.8998091,-97.0425239,17z/data=!3m1!4b1!4m5!3m4!1s0x864c2a660d222aa7:0x73323f5e067d201c!8m2!3d32.8998091!4d-97.0403352",1
4,4,4,4,Denver,DEN,DEN,KDEN,Denver International Airport,P-L,"31,362,941","https://www.google.com/maps/place/Denver+International+Airport/@39.8563629,-104.6786018,17z/data=!3m1!4b1!4m5!3m4!1s0x876c7f2a98ff44ff:0x49583bb435b59c6a!8m2!3d39.8563629!4d-104.6764131",1
5,5,5,5,New York,JFK,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport),P-L,"30,620,769","https://www.google.com/maps/place/John+F.+Kennedy+International+Airport/@40.6413112,-73.7823655,17z/data=!3m1!4b1!4m5!3m4!1s0x89c26650d5404947:0xec4fb213489f11f0!8m2!3d40.6413113!4d-73.7781383",1
6,6,6,6,San Francisco,SFO,SFO,KSFO,San Francisco International Airport,P-L,"27,790,717","https://www.google.com/maps/place/San+Francisco+International+Airport/@37.6213128,-122.3831826,17z/data=!3m1!4b1!4m5!3m4!1s0x808f778c55555555:0xa4f25c571acded3f!8m2!3d37.6213129!4d-122.3789554",1
7,7,7,7,Seattle / Tacoma (SeaTac),SEA,SEA,KSEA,Seattle–Tacoma International Airport,P-L,"24,024,908","https://www.google.com/maps/place/Seattle-Tacoma+International+Airport/@47.4479735,-122.313046,17z/data=!3m1!4b1!4m5!3m4!1s0x5490435542eafefd:0x99d3d9c4c7dc37b7!8m2!3d47.4479736!4d-122.3088188",1
8,8,8,8,Las Vegas,LAS,LAS,KLAS,Harry Reid International Airport,P-L,"23,795,012","https://www.google.com/maps/place/Harry+Reid+International+Airport/@36.0839998,-115.1559276,17z/data=!3m1!4b1!4m5!3m4!1s0x80c8c59f1f049c5d:0x471359241ec41e1e!8m2!3d36.0839998!4d-115.1537389",1
9,9,9,9,Orlando,MCO,MCO,KMCO,Orlando International Airport,P-L,"23,202,480","https://www.google.com/maps/place/Orlando+International+Airport/@28.4179167,-81.3063338,17z/data=!3m1!4b1!4m5!3m4!1s0x88e76327c6b492f3:0xad4ab9369411e16d!8m2!3d28.4179167!4d-81.3041451",1
10,10,10,10,Newark,EWR,EWR,KEWR,Newark Liberty International Airport,P-L,"22,797,602","https://www.google.com/maps/place/Newark+Liberty+International+Airport/@40.6895314,-74.1766511,17z/data=!3m1!4b1!4m5!3m4!1s0x89c252e1c5ec0cef:0xb3f3b437c5d7f286!8m2!3d40.6895314!4d-74.1744624",1
11,11,11,11,Charlotte,CLT,CLT,KCLT,Charlotte Douglas International Airport,P-L,"22,281,949","https://www.google.com/maps/place/Charlotte+Douglas+International+Airport/@35.2144026,-80.9495033,17z/data=!3m1!4b1!4m5!3m4!1s0x8856987db74ad489:0x1aba4a6f3cc4a737!8m2!3d35.2144026!4d-80.9473146",1
12,12,12,12,Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,"21,662,580","https://www.google.com/maps/place/Phoenix+Sky+Harbor+International+Airport/@33.4352489,-112.0143512,17z/data=!3m1!4b1!4m5!3m4!1s0x872b0e5c330370a5:0x82f535d5e256ee42!8m2!3d33.435249!4d-112.010124",1
13,13,13,13,Houston,IAH,IAH,KIAH,George Bush Intercontinental/Houston Airport,P-L,"21,157,398","https://www.google.com/maps/place/George+Bush+Intercontinental+Airport/@29.9902198,-95.3410099,17z/data=!3m2!4b1!5s0x8640b44c9e497b6d:0xff95595e65870b8b!4m5!3m4!1s0x8640b423d94355c7:0x9cc6b4fcc8c0c231!8m2!3d29.9902199!4d-95.3367827",1
14,14,14,14,Miami,MIA,MIA,KMIA,Miami International Airport,P-L,"21,021,640","https://www.google.com/maps/place/Miami+International+Airport/@25.7958723,-80.2892396,17z/data=!3m1!4b1!4m5!3m4!1s0x88d9b74d4eb94ac1:0x989fdae0cba2f8e1!8m2!3d25.7958723!4d-80.2870509",1
15,15,15,15,Boston,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport,P-L,"20,006,521","https://www.google.com/maps/place/Boston+Logan+International+Airport/@42.3656132,-71.0117489,17z/data=!4m7!3m6!1s0x89e37014d5da4937:0xc9394c31f2d5144!8m2!3d42.3656132!4d-71.0095602!9m1!1b1",1
16,16,16,16,Minneapolis-St. Paul,MSP,MSP,KMSP,Minneapolis–St. Paul International/Wold-Chamberlain Airport,P-L,"18,361,942","https://www.google.com/maps/place/Minneapolis%E2%88%92Saint+Paul+International+Airport/@44.8847554,-93.2244733,17z/data=!3m1!4b1!4m5!3m4!1s0x87f62f2a85c06a07:0x2bd3d37c78783591!8m2!3d44.8847554!4d-93.2222846",1
17,17,17,17,Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport,P-L,"17,612,331","https://www.google.com/maps/place/Fort+Lauderdale-Hollywood+International+Airport/@26.0742344,-80.1527909,17z/data=!3m1!4b1!4m5!3m4!1s0x88d9aa7ae4c8faf5:0x2ae0339d90a6cbe6!8m2!3d26.0742344!4d-80.1506022",1
18,18,18,18,Detroit,DTW,DTW,KDTW,Detroit Metro Wayne County Airport,P-L,"17,436,837","https://www.google.com/maps/place/Detroit+Metropolitan+Wayne+County+Airport/@42.216249,-83.3595914,17z/data=!3m1!4b1!4m5!3m4!1s0x883b4f5ddaf0b305:0x2341c0cf25bf98fb!8m2!3d42.2162491!4d-83.3553642",1
19,19,19,19,Philadelphia,PHL,PHL,KPHL,Philadelphia International Airport,P-L,"15,292,670","https://www.google.com/maps/place/Philadelphia+International+Airport/@39.8729298,-75.2478945,17z/data=!3m1!4b1!4m5!3m4!1s0x89c6c46660a9832f:0x3e2e15944637d3d8!8m2!3d39.8729299!4d-75.2436673",1
20,20,20,20,New York,LGA,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal),P-L,"15,058,501","https://www.google.com/maps/place/LaGuardia+Airport/@40.7747959,-73.8766346,16z/data=!3m1!5s0x89c25f8991466b8b:0xd794457a832ef15b!4m8!3m7!1s0x89c25f8983424db5:0x772fc4660e9666b3!8m2!3d40.7766422!4d-73.8742467!9m1!1b1!16zL20vMDFreWxu?",1
21,21,21,21,Baltimore,BWI,BWI,KBWI,Baltimore/Washington International Airport,P-L,"13,284,687","https://www.google.com/maps/place/Baltimore%2FWashington+International+Thurgood+Marshall+Airport/@39.1774042,-76.6705809,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7e2fcbbc2e00b:0x150cfa971740!8m2!3d39.1774042!4d-76.6683922",1
22,22,22,22,Salt Lake City,SLC,SLC,KSLC,Salt Lake City International Airport,P-L,"12,226,730","https://www.google.com/maps/place/Salt+Lake+City+International+Airport/@40.7909957,-111.9793681,17z/data=!4m8!3m7!1s0x8752f38b67d7f4e9:0x6f1f4326f5594819!8m2!3d40.7909957!4d-111.9767932!9m1!1b1!16zL20vMDFuNTg0?",1
23,23,23,23,San Diego,SAN,SAN,KSAN,San Diego International Airport (Lindbergh Field),P-L,"12,174,224","https://www.google.com/maps/place/San+Diego+International+Airport/@32.7338006,-117.1954925,17z/data=!3m1!4b1!4m5!3m4!1s0x80deab3944f1e6ef:0xdc2e46f957550b6b!8m2!3d32.7338006!4d-117.1933038",1
24,24,24,24,"Washington, D.C. / Dulles / Chantilly",IAD,IAD,KIAD,Washington Dulles International Airport,P-L,"11,621,623","https://www.google.com/maps/place/Dulles+International+Airport/@38.9531161,-77.460766,17z/data=!3m1!4b1!4m5!3m4!1s0x89b64740174eb057:0x8e01cb201080601d!8m2!3d38.9531162!4d-77.4565388",1
25,25,25,25,"Washington, D.C. / Arlington",DCA,DCA,KDCA,Ronald Reagan Washington National Airport,P-L,"11,366,771","https://www.google.com/maps/place/Ronald+Reagan+Washington+National+Airport/@38.851242,-77.0424202,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b731402fe095:0x4168af016d076bad!8m2!3d38.851242!4d-77.0402315",1
26,26,26,26,Chicago,MDW,MDW,KMDW,Chicago Midway International Airport,P-L,"10,678,018","https://www.google.com/maps/place/Chicago+Midway+International+Airport/@41.7867759,-87.7543771,17z/data=!3m1!4b1!4m5!3m4!1s0x880e310601aa4385:0x968a60d78f2950a5!8m2!3d41.7867759!4d-87.7521884",1
27,27,27,27,Tampa,TPA,TPA,KTPA,Tampa International Airport,P-L,"10,378,514","https://www.google.com/maps/place/Tampa+International+Airport/@27.9771524,-82.5333269,17z/data=!4m7!3m6!1s0x88c2c246939e4443:0x7a5b8408c601d509!8m2!3d27.9771524!4d-82.5311382!9m1!1b1",1
28,28,28,28,"Honolulu, Oahu",HNL,HNL,PHNL,Daniel K. Inouye International Airport,P-M,"10,017,149","https://www.google.com/maps/place/Daniel+K.+Inouye+International+Airport/@21.3186477,-157.9274918,17z/data=!3m1!4b1!4m5!3m4!1s0x7c006f943168f55f:0x7ed111b1cbf331df!8m2!3d21.3186477!4d-157.9253031",1
29,29,29,29,Portland,PDX,PDX,KPDX,Portland International Airport,P-M,"9,804,868","https://www.google.com/maps/place/Portland+International+Airport/@45.5897694,-122.5972829,17z/data=!3m1!4b1!4m5!3m4!1s0x5495a0aa74dc20d1:0x5bda7693380e5c3d!8m2!3d45.5897694!4d-122.5950942",1
30,30,30,30,Nashville,BNA,BNA,KBNA,Nashville International Airport (Berry Field),P-L,"8,017,347","https://www.google.com/maps/place/Nashville/@36.1312339,-86.6723945,17z/data=!3m1!4b1!4m5!3m4!1s0x886469532512c957:0x3e3abc8ea3309202!8m2!3d36.131234!4d-86.6681673",1
